,player,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,season,votes_first,points_won,points_max,award_share
0,Julius Erving,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,1980-81,28,454,690,0.658
1,Larry Bird,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,1980-81,20,423,690,0.613
2,Kareem Abdul-Jabbar,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,1980-81,8,286,690,0.414
3,Moses Malone,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,1980-81,8,180,690,0.261
4,George Gervin,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,1980-81,1,83,690,0.12
5,Marques Johnson,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,1980-81,1,73,690,0.106
6,Robert Parish,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,1980-81,0,53,690,0.077
7,Dennis Johnson,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,1980-81,0,50,690,0.072
8,Tiny Archibald,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,1980-81,0,32,690,0.046
9,Jamaal Wilkes,81,37.4,22.6,5.4,2.9,1.5,0.4,0.526,0.077,0.758,8.5,1980-81,0,19,690,0.028
10,Magic Johnson,37,37.1,21.6,8.6,8.6,3.4,0.7,0.532,0.176,0.76,6.4,1980-81,0,18,690,0.026
11,Adrian Dantley,80,42.7,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,13.6,1980-81,1,15,690,0.022
12,Phil Ford,66,34.7,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,5.2,1980-81,1,15,690,0.022
13,Bernard King,81,36,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,9.1,1980-81,0,12,690,0.017
14,Kelvin Ransey,80,30.4,15.2,2.4,6.9,1.1,0.1,0.452,0.097,0.749,2.8,1980-81,1,11,690,0.016
15,Jack Sikma,82,35.6,18.7,10.4,3,1,1.1,0.454,0,0.823,8,1980-81,0,11,690,0.016
16,Otis Birdsong,71,36.5,24.6,3.6,3.3,1.3,0.3,0.544,0.286,0.697,8.2,1980-81,0,7,690,0.01
17,Micheal Ray Richardson,79,40.2,16.4,6.9,7.9,2.9,0.4,0.469,0.225,0.663,6.9,1980-81,0,7,690,0.01
18,Truck Robinson,82,37.7,18.8,9.6,2.5,0.8,0.5,0.505,0,0.629,7.6,1980-81,0,6,690,0.009
19,Reggie Theus,82,34.4,18.9,3.5,5.2,1.5,0.2,0.495,0.2,0.809,9.2,1980-81,0,6,690,0.009
20,Norm Nixon,79,37.5,17.1,2.9,8.8,1.8,0.1,0.476,0.167,0.778,5.5,1980-81,0,5,690,0.007
21,Artis Gilmore,82,34.5,17.9,10.1,2.1,0.6,2.4,0.67,0,0.705,12.3,1980-81,0,4,690,0.006
22,Bob Lanier,67,26.2,14.3,6.2,2.7,1.1,1.2,0.525,1,0.751,6.8,1980-81,0,4,690,0.006
23,Michael Cooper,81,32.4,9.4,4.1,4.1,1.6,1,0.491,0.211,0.785,5,1980-81,0,3,690,0.004
24,Walter Davis,78,28,18,2.6,3.9,1.2,0.2,0.539,0.412,0.836,7.1,1980-81,0,3,690,0.004
25,George Johnson,82,23.6,5,7.3,1.1,0.6,3.4,0.473,0,0.734,4.5,1980-81,0,3,690,0.004
26,Bobby Jones,81,25.3,13.5,5.4,2.8,1.2,0.9,0.539,0,0.813,9.2,1980-81,0,3,690,0.004
27,Mike Mitchell,82,39,24.5,6.1,1.7,0.8,0.6,0.476,0.444,0.784,6,1980-81,0,3,690,0.004
28,James Silas,75,27.4,17.7,3.1,3.8,0.7,0.2,0.477,0,0.85,7,1980-81,0,3,690,0.004
29,Quinn Buckner,82,29.1,13.3,3.6,4.7,2.4,0,0.493,0.167,0.734,5.4,1980-81,0,1,690,0.001
30,Caldwell Jones,81,32.6,7.2,10,1.5,0.7,1.7,0.449,0,0.767,5.5,1980-81,0,1,690,0.001
31,Moses Malone,81,42,31.1,14.7,1.8,0.9,1.5,0.519,0,0.762,15.4,1981-82,40,507,690,0.735
32,Larry Bird,77,38,22.9,10.9,5.8,1.9,0.9,0.503,0.212,0.863,12.5,1981-82,20,406,690,0.588
33,Julius Erving,81,34.4,24.4,6.9,3.9,2,1.7,0.546,0.273,0.763,13.3,1981-82,1,203,690,0.294
34,Robert Parish,80,31.7,19.9,10.8,1.8,0.9,2.4,0.542,0,0.71,10,1981-82,4,131,690,0.19
35,Gus Williams,80,36,23.4,3.1,6.9,2.2,0.5,0.486,0.225,0.734,10.2,1981-82,2,115,690,0.167
36,George Gervin,79,35.7,32.3,5,2.4,1,0.6,0.5,0.278,0.864,10.7,1981-82,1,110,690,0.159
37,Sidney Moncrief,80,37.3,19.8,6.7,4.8,1.7,0.3,0.523,0.071,0.817,13.4,1981-82,1,101,690,0.146
38,Magic Johnson,78,38.3,18.6,9.6,9.5,2.7,0.4,0.537,0.207,0.76,12.9,1981-82,0,67,690,0.097
39,Jack Sikma,82,37.2,19.6,12.7,3.4,1.2,1.3,0.479,0.154,0.855,12.6,1981-82,0,33,690,0.048
40,Kareem Abdul-Jabbar,76,35.2,23.9,8.7,3,0.8,2.7,0.579,0,0.706,10.7,1981-82,0,31,690,0.045
41,Dan Roundfield,61,36.3,18.6,11.8,2.7,1,1.5,0.466,0.2,0.76,6.5,1981-82,0,14,690,0.02
42,Kelly Tripucka,82,37.5,21.6,5.4,3.3,1.1,0.2,0.496,0.227,0.797,7.5,1981-82,0,14,690,0.02
43,Alex English,82,36.8,25.4,6.8,5.3,1.1,1.5,0.551,0,0.84,9.5,1981-82,0,12,690,0.017
44,Bernard King,79,36.2,23.2,5.9,3.6,1,0.3,0.566,0.2,0.705,8.7,1981-82,0,10,690,0.014
45,Adrian Dantley,81,39.8,30.3,6.3,4,1.2,0.2,0.57,0.333,0.792,12.6,1981-82,0,7,690,0.01
46,Ray Williams,82,33.3,20.4,4,6,2.4,0.5,0.462,0.167,0.832,7.9,1981-82,0,6,690,0.009
47,Michael Cooper,76,28.9,11.9,3.5,3,1.6,0.8,0.517,0.118,0.813,5,1981-82,0,3,690,0.004
48,Dan Issel,81,30.5,22.9,7.5,2.2,0.8,0.7,0.527,0.667,0.834,9.8,1981-82,0,3,690,0.004
49,Marques Johnson,60,31.7,16.5,6.1,3.6,1,0.6,0.532,0,0.7,6.2,1981-82,0,3,690,0.004
50,Isiah Thomas,72,33.8,17,2.9,7.8,2.1,0.2,0.424,0.288,0.704,2.3,1981-82,0,3,690,0.004
51,Dennis Johnson,80,36.7,19.5,5.1,4.6,1.3,0.7,0.47,0.19,0.806,8.1,1981-82,0,1,690,0.001
52,Mychal Thompson,79,39.6,20.8,11.7,4,0.9,1.4,0.523,0,0.628,8.2,1981-82,0,1,690,0.001
53,Jay Vincent,81,32.4,21.4,7,2.2,1.1,0.3,0.497,0.25,0.716,5.6,1981-82,0,1,690,0.001
54,Jamaal Wilkes,82,35.4,21.1,4.8,1.7,1.1,0.3,0.525,0,0.732,7.7,1981-82,0,1,690,0.001
55,Buck Williams,82,34.5,15.5,12.3,1.3,1,1,0.582,0,0.624,8.9,1981-82,0,1,690,0.001
56,Moses Malone,78,37.5,24.5,15.3,1.3,1.1,2,0.501,0,0.761,15.1,1982-83,69,720,750,0.96
57,Larry Bird,79,37.7,23.6,11,5.8,1.9,0.9,0.504,0.286,0.84,14,1982-83,1,364,750,0.485
58,Magic Johnson,79,36.8,16.8,8.6,10.5,2.2,0.6,0.548,0,0.8,12.5,1982-83,2,304.5,750,0.406
59,Sidney Moncrief,76,35.7,22.5,5.8,3.9,1.5,0.3,0.524,0.1,0.826,13.2,1982-83,0,226,750,0.301
60,Julius Erving,72,33.6,21.4,6.8,3.7,1.6,1.8,0.517,0.286,0.759,10.9,1982-83,3,112,750,0.149
61,Alex English,82,36.4,28.4,7.3,4.8,1.4,1.5,0.516,0.167,0.829,10.3,1982-83,0,42,750,0.056
62,Buck Williams,82,36.1,17,12.5,1.5,1.1,1.3,0.588,0,0.62,11.4,1982-83,0,40,750,0.053
63,Artis Gilmore,82,34.1,18,12,1.5,0.5,2.3,0.626,0,0.74,11,1982-83,0,33,750,0.044
64,George Gervin,78,36.3,26.2,4.6,3.4,1.1,0.9,0.487,0.364,0.853,9.4,1982-83,0,30,750,0.04
65,Kareem Abdul-Jabbar,79,32.3,21.8,7.5,2.5,0.8,2.2,0.588,0,0.749,10.9,1982-83,0,15,750,0.02
66,Jack Sikma,75,34.2,18.2,11.4,3.1,1.2,0.9,0.464,0,0.837,9.8,1982-83,0,13,750,0.017
67,Jeff Ruland,79,36.2,19.4,11,3,0.9,1,0.552,0.333,0.689,10.1,1982-83,0,12,750,0.016
68,Terry Cummings,70,36.2,23.7,10.6,2.5,1.8,0.9,0.523,0,0.709,8.7,1982-83,0,10,750,0.013
69,Maurice Lucas,77,33.6,16.5,10.4,2.8,0.7,0.6,0.474,0.333,0.781,7.1,1982-83,0,9,750,0.012
70,Alton Lister,80,23.6,8.4,7.1,1.4,0.6,2.2,0.529,0,0.537,3.8,1982-83,0,5,750,0.007
71,Bernard King,68,32.5,21.9,4.8,2.9,1.3,0.2,0.528,0,0.722,7.5,1982-83,0,4,750,0.005
72,Isiah Thomas,81,38.2,22.9,4,7.8,2.5,0.4,0.472,0.288,0.71,7.4,1982-83,0,4,750,0.005
73,Larry Drew,75,35.9,20.1,2.8,8.1,1.7,0.1,0.492,0.125,0.82,7.2,1982-83,0,3,750,0.004
74,Gus Williams,80,34.5,20,2.6,8,2.3,0.3,0.477,0.047,0.751,8.5,1982-83,0,3,750,0.004
75,Dan Roundfield,77,36.5,19,11.4,2.9,0.8,1.5,0.47,0.185,0.749,7.4,1982-83,0,2,750,0.003
76,Marques Johnson,80,35.7,21.4,7,4.5,1.3,0.7,0.509,0.2,0.735,10.7,1982-83,0,1.5,750,0.002
77,Norm Nixon,79,34.3,15.1,2.6,7.2,1.3,0.1,0.475,0,0.744,3.9,1982-83,0,1,750,0.001
78,Kiki Vandeweghe,82,35.5,26.7,5.3,2.5,0.8,0.5,0.547,0.294,0.875,11,1982-83,0,1,750,0.001
79,Larry Bird,79,38.3,24.2,10.1,6.6,1.8,0.9,0.492,0.247,0.888,13.6,1983-84,52,652,760,0.858
80,Bernard King,77,34.6,26.3,5.1,2.1,1,0.2,0.572,0,0.779,12.1,1983-84,11,373,760,0.491
81,Magic Johnson,67,38.3,17.6,7.3,13.1,2.2,0.7,0.565,0.207,0.81,10.2,1983-84,5,305,760,0.401
82,Kareem Abdul-Jabbar,80,32.8,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,8.9,1983-84,3,153,760,0.201
83,Isiah Thomas,82,36.7,21.3,4,11.1,2.5,0.4,0.462,0.338,0.733,9.1,1983-84,1,115,760,0.151
84,Julius Erving,77,34.8,22.4,6.9,4,1.8,1.8,0.512,0.333,0.754,10.1,1983-84,1,98,760,0.129
85,Adrian Dantley,79,37.8,30.6,5.7,3.9,0.8,0.1,0.558,0.25,0.859,14.6,1983-84,1,88,760,0.116
86,Sidney Moncrief,79,38.9,20.9,6.7,4.5,1.4,0.3,0.498,0.278,0.848,12.7,1983-84,1,70,760,0.092
87,Jeff Ruland,75,41.1,22.2,12.3,3.9,0.9,1,0.579,0.143,0.733,9.3,1983-84,1,38,760,0.05
88,Moses Malone,71,36.8,22.7,13.4,1.4,1,1.5,0.483,0,0.75,9.5,1983-84,0,35,760,0.046
89,Mark Aguirre,79,36.7,29.5,5.9,4.5,1,0.3,0.524,0.268,0.749,9,1983-84,0,28,760,0.037
90,Bill Laimbeer,82,34.9,17.3,12.2,1.8,0.6,1,0.53,0,0.866,10.8,1983-84,0,9,760,0.012
91,Rickey Green,81,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,7.9,1983-84,0,8,760,0.011
92,World B. Free,75,31.7,22.3,2.9,3,1.3,0.1,0.445,0.319,0.784,5.3,1983-84,0,1,760,0.001
93,Marques Johnson,74,36.7,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.709,8.6,1983-84,0,1,760,0.001
94,Larry Bird,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,15.7,1984-85,73,763,780,0.978
95,Magic Johnson,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,12.7,1984-85,1,264,780,0.338
96,Moses Malone,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0,0.815,11.9,1984-85,0,218,780,0.279
97,Kareem Abdul-Jabbar,79,33.3,22,7.9,3.2,0.8,2.1,0.599,0,0.732,11.2,1984-85,0,206,780,0.264
98,Terry Cummings,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0,0.741,10.7,1984-85,2,138,780,0.177
99,Michael Jordan,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,14,1984-85,2,134,780,0.172
100,Bernard King,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,7.1,1984-85,0,70,780,0.09
101,Sidney Moncrief,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,11.2,1984-85,0,65,780,0.083
102,Isiah Thomas,81,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,11.2,1984-85,0,63,780,0.081
103,Ralph Sampson,82,37.6,22.1,10.4,2.7,1,2,0.502,0,0.676,6.2,1984-85,0,26,780,0.033
104,Calvin Natt,78,34.1,23.3,7.8,3.1,1,0.4,0.546,0,0.793,10.2,1984-85,0,22,780,0.028
105,Alex English,81,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,8.9,1984-85,0,12,780,0.015
106,Hakeem Olajuwon,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,10.2,1984-85,0,12,780,0.015
107,Micheal Ray Richardson,82,38.1,20.1,5.6,8.2,3,0.3,0.469,0.252,0.767,8.7,1984-85,0,11,780,0.014
108,Andrew Toney,70,32,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,5.5,1984-85,0,5,780,0.006
109,Mark Eaton,82,34.3,9.7,11.3,1.5,0.4,5.6,0.449,0,0.712,5.4,1984-85,0,4,780,0.005
110,Paul Pressey,80,36,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,9.6,1984-85,0,3,780,0.004
111,Jack Sikma,68,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,8.3,1984-85,0,3,780,0.004
112,Dominique Wilkins,81,37.3,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.806,7.6,1984-85,0,3,780,0.004
113,World B. Free,71,31.7,22.5,3,4.5,1.1,0.2,0.459,0.368,0.749,6,1984-85,0,2,780,0.003
114,Purvis Short,78,39.5,28,5.1,3,1.5,0.3,0.46,0.313,0.817,6.2,1984-85,0,2,780,0.003
115,Clyde Drexler,80,31.9,17.2,6,5.5,2.2,0.9,0.494,0.216,0.759,7.5,1984-85,0,1,780,0.001
116,Julius Erving,78,32.5,20,5.3,3,1.7,1.4,0.494,0.214,0.765,7.6,1984-85,0,1,780,0.001
117,Larry Bird,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,1985-86,73,765,780,0.981
118,Dominique Wilkins,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,1985-86,5,407,780,0.522
119,Magic Johnson,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,1985-86,0,205,780,0.263
120,Hakeem Olajuwon,68,36.3,23.5,11.5,2,2,3.4,0.526,0,0.645,9.5,1985-86,0,193,780,0.247
121,Kareem Abdul-Jabbar,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,1985-86,0,135,780,0.173
122,Charles Barkley,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,1985-86,0,133,780,0.171
123,Sidney Moncrief,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,1985-86,0,56,780,0.072
124,Alex English,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,1985-86,0,55,780,0.071
125,Isiah Thomas,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,1985-86,0,28,780,0.036
126,Moses Malone,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,1985-86,0,21,780,0.027
127,Terry Cummings,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,1985-86,0,9,780,0.012
128,James Worthy,75,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,1985-86,0,7,780,0.009
129,Kevin McHale,68,35.3,21.3,8.1,2.7,0.4,2,0.574,0,0.776,11,1985-86,0,3,780,0.004
130,Paul Pressey,80,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,1985-86,0,3,780,0.004
131,Alvin Robertson,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,1985-86,0,3,780,0.004
132,Adrian Dantley,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,1985-86,0,2,780,0.003
133,Buck Williams,82,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,1985-86,0,2,780,0.003
134,Dennis Johnson,78,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,1985-86,0,1,780,0.001
135,Magic Johnson,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,1986-87,65,733,780,0.94
136,Michael Jordan,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,1986-87,10,449,780,0.576
137,Larry Bird,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,1986-87,1,271,780,0.347
138,Kevin McHale,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,1986-87,0,254,780,0.326
139,Dominique Wilkins,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,1986-87,0,128,780,0.164
140,Charles Barkley,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,1986-87,1,113,780,0.145
141,Hakeem Olajuwon,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,1986-87,1,28,780,0.036
142,Isiah Thomas,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,1986-87,0,17,780,0.022
143,Fat Lever,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,1986-87,0,11,780,0.014
144,Moses Malone,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,1986-87,0,9,780,0.012
145,Steve Johnson,79,29.7,16.8,7.2,2,0.6,1,0.556,0,0.698,4.4,1986-87,0,4,780,0.005
146,Karl Malone,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,1986-87,0,3,780,0.004
147,Robert Parish,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,1986-87,0,3,780,0.004
148,Alex English,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,1986-87,0,2,780,0.003
149,Mark Aguirre,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,1986-87,0,1,780,0.001
150,Rolando Blackman,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,1986-87,0,1,780,0.001
151,Joe Barry Carroll,81,33.6,21.2,7.3,2.6,1.1,1.5,0.472,0,0.787,4.6,1986-87,0,1,780,0.001
152,Michael Jordan,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,1987-88,47,665,800,0.831
153,Larry Bird,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,1987-88,16,527,800,0.659
154,Magic Johnson,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,1987-88,16,508,800,0.635
155,Charles Barkley,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,1987-88,1,109,800,0.136
156,Clyde Drexler,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,1987-88,0,86,800,0.108
157,Dominique Wilkins,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,1987-88,0,55,800,0.069
158,Hakeem Olajuwon,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,1987-88,0,40,800,0.05
159,Karl Malone,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,1987-88,0,36,800,0.045
160,Fat Lever,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,1987-88,0,26,800,0.033
161,John Stockton,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,1987-88,0,15,800,0.019
162,Alex English,80,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,1987-88,0,4,800,0.005
163,Isiah Thomas,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,1987-88,0,3,800,0.004
164,Mark Jackson,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,1987-88,0,2,800,0.003
165,Michael Adams,82,33.9,13.9,2.7,6.1,2,0.2,0.449,0.367,0.834,7.5,1987-88,0,1,800,0.001
166,Mark Aguirre,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,1987-88,0,1,800,0.001
167,Adrian Dantley,69,31.1,20,3.3,2.5,0.6,0.1,0.514,0,0.86,9.4,1987-88,0,1,800,0.001
168,Buck Williams,70,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,1987-88,0,1,800,0.001
169,Magic Johnson,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,1988-89,42.5,664.5,850,0.782
170,Michael Jordan,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,1988-89,27.5,598.8,850,0.704
171,Karl Malone,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,1988-89,5,362,850,0.426
172,Patrick Ewing,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,1988-89,8,200,850,0.235
173,Hakeem Olajuwon,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,1988-89,2,179.3,850,0.211
174,Charles Barkley,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,1988-89,0,94.3,850,0.111
175,John Stockton,82,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,1988-89,0,28,850,0.033
176,Kevin Johnson,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,1988-89,0,22,850,0.026
177,Tom Chambers,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,1988-89,0,20,850,0.024
178,Mark Price,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,1988-89,0,18,850,0.021
179,Brad Daugherty,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,9.6,1988-89,0,4,850,0.005
180,Robert Parish,80,35.5,18.6,12.5,2.2,1,1.5,0.57,0,0.719,10.5,1988-89,0,4,850,0.005
181,Mark Eaton,82,35.5,6.2,10.3,1,0.5,3.8,0.462,0,0.66,6.6,1988-89,0,3,850,0.004
182,Moses Malone,81,35.5,20.2,11.8,1.4,1,1.2,0.491,0,0.789,10.7,1988-89,0,3,850,0.004
183,Chris Mullin,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,1988-89,0,3,850,0.004
184,Larry Nance,73,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,1988-89,0,3,850,0.004
185,Terry Cummings,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,1988-89,0,1,850,0.001
186,Joe Dumars,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,7,1988-89,0,1,850,0.001
187,Isiah Thomas,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,1988-89,0,1,850,0.001
188,Magic Johnson,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,1989-90,27,636,920,0.691
189,Charles Barkley,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,1989-90,38,614,920,0.667
190,Michael Jordan,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,1989-90,21,564,920,0.613
191,Karl Malone,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,1989-90,2,214,920,0.233
192,Patrick Ewing,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,1989-90,1,162,920,0.176
193,David Robinson,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,1989-90,2,102,920,0.111
194,Hakeem Olajuwon,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,1989-90,1,64,920,0.07
195,Tom Chambers,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,1989-90,0,12,920,0.013
196,John Stockton,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,1989-90,0,9,920,0.01
197,Larry Bird,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,1989-90,0,5,920,0.005
198,Buck Williams,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,1989-90,0,5,920,0.005
199,Clyde Drexler,73,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,1989-90,0,3,920,0.003
200,Joe Dumars,75,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,1989-90,0,1,920,0.001
201,Isiah Thomas,81,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,1989-90,0,1,920,0.001
202,Michael Jordan,82,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,1990-91,77,891,960,0.928
203,Magic Johnson,79,37.1,19.4,7,12.5,1.3,0.2,0.477,0.32,0.906,15.4,1990-91,10,497,960,0.518
204,David Robinson,82,37.7,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,17,1990-91,6,476,960,0.496
205,Charles Barkley,67,37.3,27.6,10.1,4.2,1.6,0.5,0.57,0.284,0.722,13.4,1990-91,2,222,960,0.231
206,Karl Malone,82,40.3,29,11.8,3.3,1.1,1,0.527,0.286,0.77,15.5,1990-91,0,142,960,0.148
207,Clyde Drexler,82,34.8,21.5,6.7,6,1.8,0.7,0.482,0.319,0.794,12.4,1990-91,1,75,960,0.078
208,Kevin Johnson,77,36,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,12.7,1990-91,0,32,960,0.033
209,Dominique Wilkins,81,38,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,11.4,1990-91,0,29,960,0.03
210,Larry Bird,60,38,19.4,8.5,7.2,1.8,1,0.454,0.389,0.891,6.6,1990-91,0,25,960,0.026
211,Terry Porter,81,32.9,17,3.5,8,2,0.1,0.515,0.415,0.823,13,1990-91,0,25,960,0.026
212,Patrick Ewing,81,38.3,26.6,11.2,3,1,3.2,0.514,0,0.745,10,1990-91,0,20,960,0.021
